nombre,precios,stock,enlaces
NVIDIA GeForce RTX3070Ti 8GB Vision OC,$ 1.329.990,2,https://www.pcfactory.cl/producto/42668-gigabyte-video-nvidia-geforce-rtx3070ti-8gb-vision-oc
NVIDIA GeForce RTX3070Ti 8GB Gaming X Trio,$ 1.349.990,26,https://www.pcfactory.cl/producto/42353-msi-video-nvidia-geforce-rtx3070ti-8gb-gaming-x-trio
NVIDIA GeForce RTX3080 10GB Eagle Gaming,$ 1.599.990,+30,https://www.pcfactory.cl/producto/39028-gigabyte-video-nvidia-geforce-rtx3080-10gb-eagle-gaming
AMD RX 6800XT O16GB Rog Strix LC Gaming,$ 1.599.990,5,https://www.pcfactory.cl/producto/40291-asus-video-amd-rx-6800xt-o16gb-rog-strix-lc-gaming
AMD Radeon RX 6900XT O16G TUF Gaming,$ 1.599.990,1,https://www.pcfactory.cl/producto/40718-asus-video-amd-radeon-rx-6900xt-o16g-tuf-gaming
NVIDIA GeForce RTX3080 10GB GameRock,$ 1.599.990,13,https://www.pcfactory.cl/producto/43914-palit-video-nvidia-geforce-rtx3080-10gb-gamerock
NVIDIA GeForce RTX3080 O10GB Rog Strix V2,$ 1.649.990,1,https://www.pcfactory.cl/producto/43631-asus-video-nvidia-geforce-rtx3080-o10gb-rog-strix-v2
NVIDIA GeForce RTX3080 10GB Master V2.0,$ 1.779.990,1,https://www.pcfactory.cl/producto/42671-gigabyte-video-nvidia-geforce-rtx3080-10gb-master-v2-0
AMD Radeon RX 6900XT 16GB Aorus Xtreme Waterforce,$ 1.799.990,+50,https://www.pcfactory.cl/producto/42682-gigabyte-video-amd-radeon-rx-6900xt-16gb-aorus-xtreme-waterforce
NVIDIA GeForce RTX3080 10GB Gaming Z Trio LHR,$ 1.799.990,2,https://www.pcfactory.cl/producto/42740-msi-video-nvidia-geforce-rtx3080-10gb-gaming-z-trio-lhr
NVIDIA GeForce RTX3080Ti 12GB GameRock,$ 1.899.990,8,https://www.pcfactory.cl/producto/43477-palit-video-nvidia-geforce-rtx3080ti-12gb-gamerock
NVIDIA GeForce RTX3080Ti Gaming OC 12G,$ 1.899.990,8,https://www.pcfactory.cl/producto/42675-gigabyte-video-nvidia-geforce-rtx3080ti-gaming-oc-12g
